V2007,V2010,V2009,V3009A,UF
2,1,83,7.0,11
1,4,32,7.0,11
1,1,57,7.0,11
2,1,51,7.0,11
1,4,23,7.0,11
1,4,22,7.0,11
1,1,45,7.0,11
1,2,19,7.0,11
1,4,33,7.0,11
2,1,68,7.0,11
2,4,34,7.0,11
1,4,25,7.0,11
2,4,57,7.0,11
1,4,46,7.0,11
2,4,58,7.0,11
1,4,38,7.0,11
1,1,78,7.0,11
2,1,76,7.0,11
1,2,56,7.0,11
2,4,53,7.0,11
2,1,51,7.0,11
1,4,31,7.0,11
1,1,46,8.0,11
1,4,60,7.0,11
2,4,49,7.0,11
2,4,30,7.0,11
1,1,75,7.0,11
1,1,34,7.0,11
2,4,50,7.0,11
2,1,67,8.0,11
1,1,44,7.0,11
1,1,56,8.0,11
2,4,53,8.0,11
1,4,44,7.0,11
2,1,37,7.0,11
1,4,42,7.0,11
2,4,42,7.0,11
2,4,46,7.0,11
2,4,56,7.0,11
1,4,62,7.0,11
2,4,59,7.0,11
1,4,17,7.0,11
1,4,47,7.0,11
1,1,61,7.0,11
1,2,35,7.0,11
2,4,59,7.0,11
1,4,68,7.0,11
2,4,48,7.0,11
1,4,32,7.0,11
2,4,34,7.0,11
2,4,55,7.0,11
2,4,58,8.0,11
1,4,51,7.0,11
2,1,56,7.0,11
1,1,57,7.0,11
1,4,30,7.0,11
2,4,24,7.0,11
1,4,22,7.0,11
1,3,53,7.0,11
2,4,50,7.0,11
1,4,26,7.0,11
1,2,22,7.0,11
1,1,47,7.0,11
1,2,48,7.0,11
1,1,62,7.0,11
2,1,59,7.0,11
1,4,53,7.0,11
1,2,64,7.0,11
2,4,42,7.0,11
1,4,40,7.0,11
1,4,26,7.0,11
1,4,55,7.0,11
2,2,39,7.0,11
2,4,37,7.0,11
1,4,32,7.0,11
2,4,54,8.0,11
1,4,62,7.0,11
2,4,60,7.0,11
2,4,44,7.0,11
1,1,52,7.0,11
2,1,53,7.0,11
2,4,36,7.0,11
2,4,46,7.0,11
2,4,61,7.0,11
1,4,57,7.0,11
1,4,44,7.0,11
1,4,48,7.0,11
1,4,57,7.0,11
2,1,58,8.0,11
1,4,47,7.0,11
1,1,46,8.0,11
2,1,45,8.0,11
2,4,28,7.0,11
1,1,64,7.0,11
1,4,58,7.0,11
2,1,51,7.0,11
2,1,49,7.0,11
1,4,56,7.0,11
1,4,56,7.0,11
1,4,40,7.0,11
2,4,41,7.0,11
1,2,42,7.0,11
2,4,54,7.0,11
2,4,46,7.0,11
1,4,48,7.0,11
2,2,47,7.0,11
1,4,45,7.0,11
1,4,57,7.0,11
2,4,57,7.0,11
1,4,28,7.0,11
1,4,24,7.0,11
1,1,57,7.0,11
1,4,47,7.0,11
1,4,68,7.0,11
2,4,53,7.0,11
2,1,46,7.0,11
1,4,65,7.0,11
2,4,39,7.0,11
1,4,21,7.0,11
1,4,43,7.0,11
2,4,55,7.0,11
2,4,17,7.0,11
2,4,52,7.0,11
2,4,42,7.0,11
2,4,44,7.0,11
1,4,20,7.0,11
1,4,55,7.0,11
2,4,40,7.0,11
1,4,38,7.0,11
2,4,59,7.0,11
1,4,24,8.0,11
2,1,40,7.0,11
1,1,47,7.0,11
1,4,30,7.0,11
2,4,57,7.0,11
1,1,55,7.0,11
1,4,51,7.0,11
2,1,52,7.0,11
2,1,32,7.0,11
2,4,30,7.0,11
2,4,61,7.0,11
1,1,45,7.0,11
1,4,30,7.0,11
1,4,46,7.0,11
1,4,58,7.0,11
2,4,51,7.0,11
1,1,49,7.0,11
2,4,45,7.0,11
2,3,72,7.0,11
1,2,41,7.0,11
2,2,19,7.0,11
2,4,50,7.0,11
2,4,66,7.0,11
1,4,54,7.0,11
2,4,41,7.0,11
2,4,48,7.0,11
1,4,24,8.0,11
1,4,24,8.0,11
1,4,40,8.0,11
2,2,32,7.0,11
2,1,29,7.0,11
1,4,31,7.0,11
2,1,56,7.0,11
1,1,21,8.0,11
1,1,37,8.0,11
2,4,65,7.0,11
2,4,65,7.0,11
1,2,53,7.0,11
1,2,74,7.0,11
1,4,48,7.0,11
1,1,7,7.0,11
2,1,58,7.0,11
2,4,77,7.0,11
2,2,63,7.0,11
2,2,38,7.0,11
2,4,62,8.0,11
2,4,18,7.0,11
2,4,45,7.0,11
1,1,19,7.0,11
2,4,44,7.0,11
1,4,52,7.0,11
2,4,42,8.0,11
1,4,52,7.0,11
2,4,24,7.0,11
1,4,48,7.0,11
2,1,41,7.0,11
2,4,24,7.0,11
2,1,50,7.0,11
1,1,15,7.0,11
1,4,41,7.0,11
2,4,37,7.0,11
2,4,33,7.0,11
2,4,63,7.0,11
2,4,61,7.0,11
1,4,60,7.0,11
2,1,22,7.0,11
2,4,63,8.0,11
1,4,58,7.0,11
2,1,43,7.0,11
1,1,25,7.0,11
1,4,44,7.0,11
1,4,20,7.0,11
1,1,27,8.0,11
1,4,37,7.0,11
2,1,78,7.0,11
1,1,80,7.0,11
1,4,22,7.0,11
1,1,41,7.0,11
2,1,28,7.0,11
1,1,46,7.0,11
2,1,41,7.0,11
1,1,53,7.0,11
2,1,45,7.0,11
1,4,64,7.0,11
2,4,55,7.0,11
2,2,47,7.0,11
1,1,38,7.0,11
2,1,32,8.0,11
1,1,33,7.0,11
2,1,34,7.0,11
1,4,39,8.0,11
2,4,46,7.0,11
1,4,38,7.0,11
1,1,56,7.0,11
2,1,47,7.0,11
1,4,43,7.0,11
1,4,30,8.0,11
2,4,30,8.0,11
1,4,48,7.0,11
2,4,53,7.0,11
2,2,18,7.0,11
1,4,38,7.0,11
2,4,49,7.0,11
1,4,50,7.0,11
1,4,54,7.0,11
2,4,52,7.0,11
1,4,55,7.0,11
2,4,51,7.0,11
1,4,60,7.0,11
2,1,59,7.0,11
2,4,47,7.0,11
1,1,50,7.0,11
1,4,37,7.0,11
1,1,44,7.0,11
1,1,48,7.0,11
2,2,43,7.0,11
1,2,41,7.0,11
